mention,tag,pt code,fold id
стресс,Indication,10042209,3
недосып,Indication,10062519,3
нервы,Indication,10029216,3
стрессового состояния,Indication,10042209,4
страх,Indication,10016275,4
чувство паники,Indication,10033666,4
головной боли,ADR,10019211,5
привыкание,ADR,10052804,5
вируса папилломы,Indication,10061331,4
насморком,Indication,10039101,4
красные пятна после прыщей,Indication,10037867,3
пятен после прыщей,Indication,10000496,3
красные пятна после прыщей,Indication,10037867,3
мигренеподобных головных болей,Indication,10027599,2
высокой температуре,Indication,10037660,3
"температура 38,5",Indication,10037660,3
"температура 38,5",Indication,10037660,3
температура,Indication,10005911,3
температуру,Indication,10005911,3
температура,Indication,10005911,3
высокой температуре,Indication,10037660,3
низкий иммунитет,Indication,10021425,4
Зуд,Indication,10037087,4
покраснения,Indication,10015150,4
выделения,Indication,10056740,4
недосыпания,Indication,10062519,4
стресс,Indication,10042209,4
Не мог долго заснут,Indication,10062519,4
Жутко разболелась голова,ADR,10019211,4
"горлышко, красное",Indication,10068319,5
от больного горла,Indication,10068319,5
болит горло,Indication,10019211,5
проблемы с горлом,Indication,10067353,5
чувствовала себя плохо,Indication,10016322,1
не большая температура,Indication,10037660,1
недомогание,Indication,10025482,1
сильная сонливость,ADR,10041349,1
от депрессии,Indication,10012378,3
не спала ночами,ADR,10040984,1
постоянно ворочилась,ADR,10040984,1
всё время кричала,ADR,10039740,1
рассеянность,ADR,10013496,1
перевозбуждение,ADR,10080831,1
температура до 38.7,Indication,10037660,4
Сопли,Indication,10039101,4
кашель,Indication,10011224,4
полное отсутсвие речи,Indication,10074869,5
гиперактивность,Indication,10037211,5
раздражительной,Indication,10022998,1
вспыльчивой,Indication,10002368,1
жутко хотелось спать,ADR,10041349,1
как профилактическое,Indication,10036898,3
насморка,Indication,10039101,3
заложенности носа,Indication,10028735,3
заторможенности,Indication,10041349,5
аллергию,ADR,10020751,3
сыпь чесаться,ADR,10037884,3
аллергии,ADR,10020751,3
аллергию,ADR,10020751,3
против туляремии,Indication,10045146,5
против туляремии,Indication,10045146,5
насморк,Indication,10039101,2
не говорит,Indication,10041466,3
насморк,Indication,10039101,2
козюли,Indication,10028740,2
заложеность,Indication,10028735,2
сопли,Indication,10039101,2
стала тупить,ADR,10050012,1
заторможенная,ADR,10041349,1
клонит в сон,ADR,10041349,1
для профилактики,Indication,10036898,4
болело сильно горло,Indication,10068319,1
нервному,Indication,10029216,1
возбудимому,Indication,10001497,1
гиперактивному,Indication,10037211,1
Истерик,Indication,10010893,1
профилактического,Indication,10036898,1
кожа вся в итоге шелушилась,ADR,10040844,1
недосыпа,Indication,10062519,5
переутомляемости,Indication,10003549,5
постоянно срываться,Indication,10061284,5
кричать,Indication,10039740,5
гиперактивный,Indication,10037211,5
прыщики,Indication,10000496,5
проблемы со сном,Indication,10022437,3
не могла уснуть,Indication,10062519,3
при профилактике,Indication,10036898,4
для профилактики,Indication,10036898,4
для профилактики,Indication,10036898,4
при профилактике,Indication,10036898,4
Аллергия,ADR,10020751,2
аллергические высыпания на коже,ADR,10012434,2
аллергия,ADR,10020751,2
Аллергия,ADR,10020751,2
жар,Indication,10016334,1
головную боль,Indication,10019211,1
усталость,Indication,10016256,1
стресс,Indication,10042209,5
повышенной нервной возбудимости,Indication,10001497,5
стресс,Indication,10042209,5
сильный кашель,Indication,10011224,4
кашель,Indication,10011224,4
температура,Indication,10005911,3
насморк,Indication,10039101,3
кашель,Indication,10011224,3
понос,ADR,10012735,3
понос,ADR,10012735,3
понос,ADR,10012735,3
понос,ADR,10012735,3
аллергия,ADR,10020751,3
постоянную тревожность,Indication,10033670,5
беспокойство,Indication,10033670,5
привыкание,ADR,10052804,5
на нервах,Indication,10029216,5
просыпалась раза 4-5,Indication,10062519,1
чувство сдавленности в почках,ADR,10038428,1
болей,ADR,10033371,1
сдавленностей в почках,ADR,10076704,1
печень на него плохо отреагировала,ADR,10024670,1
сопли,Indication,10039101,4
температура,Indication,10005911,4
горлышко красное,Indication,10068319,4
печет слизистая,ADR,10067641,2
высокая температура,Indication,10037660,1
температура повышенная,Indication,10005911,1
распираторно вирусные инфекции,Indication,10062352,1
легкий насморк,Indication,10039101,2
простудные симптомы,Indication,10028810,4
